SCPI,Display Name,Gérant,Stratégie,Distribution estimée,TD 2021,TDVM 2020,Part Souscription,Part Retrait,Différentiel souscription / retrait,Valeur de reconstitution,# Min parts Souscription,Montant min Souscription,Délai de jouissance,Frais de gestion,Versement programmé,TOF,TOP,Nombre de locataires,WALB (ans),Souscriptions,Retraits,Indice de liquidité,ISR,Capitalisation,Geographie,Création,Endettement,URL,Versement,Displayable,Featured,Image Link,Allow Direct Debit,Cashback
ActivImmo,ActivImmo,Alderan,Logistique,,"6,02%","6,05%","610,00 €","545,34 €","10,60%","629,00 €",10,"6 100,00 €",5 mois,12%,Oui,"100,00%",NA,118,"4,7",186 852,311,Très bon,Oui,688 millions €,🇫🇷 France,2019,"12,00%",https://www.alderan.fr/expertises/scpi,Trimestriel,TRUE,Coup de ❤️ des clients,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Flogistique01.jpg?alt=media&token=0eb48e92-e8a1-41f4-9acb-fd361e1e9db0,Yes,Oui
Atream Hôtels,Atream Hôtels,Atream,Hôtels,,"2,64%","2,80%","1 000,00 €","900,00 €","10,00%","1 052,85 €",5,"5 000,00 €",3 mois,12%,Non,"100,00%","100,00%",12,"14,9",14 643,150,Bon,Oui,"248,2 millions €",🇪🇺 Europe,2016,"28,47%",https://www.atream.com/solutions/fonds-ouverts/scpi-atream-hotels/,Trimestriel,FAUX,,,No,Oui
Buroboutic,Buroboutic,Fiducial Gérance,Diversifiée,,"4,08%","4,27%","267,00 €","240,30 €","10,00%","256,02 €",10,"2 670,00 €",3 mois,"10,80%",Oui,NA,NA,NA,NA,NA,NA,NA,Non,"375,6 millions €",🇫🇷 France,1986,NA,https://www.fiducial-gerance.fr/Nos-SCPI/SCPI-BUROBOUTIC-Metropoles,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie01.jpg?alt=media&token=d859c671-3c18-405c-bf6b-14863459af30,No,Oui
Cap Foncières et Territoires,Cap Foncières et Territoires,Foncières et Territoires,Bureaux,,"5,61%","5,63%","258,00 €","232,20 €","10,00%","275,36 €",4,"1 032,00 €",2 mois,"9,60%",Non,"98,34%",NA,82,NA,35 112,269,Très bon,Non,65 millions €,🇫🇷 France,2014,"3,03%",https://www.foncieres-et-territoires.com/-SCPI-.html,Trimestriel,TRUE,,,No,Oui
Cap'HebergImmo,Cap'HebergImmo,Aestiam,Hôtels,,"3,31%","1,46%","250,00 €","225,00 €","10,00%","260,44 €",10,"2 500,00 €",1 mois,"7,20%",Non,"100,00%",NA,18,"9,97",563,563,Illiquide,Non,81 millions €,🇫🇷 🇪🇺 France / Europe,2013,"23,10%",https://www.aestiam.com/scpi/aestiam-caphebergimmo,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fhotel01.jpg?alt=media&token=fef19daa-ced9-4d4b-bd26-500b2b1a15f1,No,Oui
CM Pierre 1,CM Pierre 1,La Francaise AM,Bureaux,,"4,00%","4,00%","285,00 €","262,20 €","8,00%","304,82 €",5,"1 425,00 €",0 mois,12%,Oui,"90,80%","82,30%",NA,NA,158,158,Illiquide,Non,"1,104 milliards €",🇫🇷 France,1973,"25,80%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/credit-mutuel-pierre-1#docs,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau13.jpg?alt=media&token=e19f163f-c3f3-4ebe-bf0a-73bcaf870a1e,No,Oui
Coeur d'Europe,Coeur d'Europe,Sogenial,Bureaux,,"5,00%",/,"200,00 €","176,00 €","12,00%","212,52 €",10,"2 000,00 €",5 mois,10%,Non,"98,97%","97,61%",17,NA,37 684,0,Très bon,Non,"27,5 millions €",🇪🇺 Europe,2021,"7,24%",https://sogenial.fr/scpi-coeur-d-europe/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie02.jpg?alt=media&token=49da10c8-6564-4460-bad4-7541ccebae95,Yes,Oui
Coeur de Régions,Coeur de Régions,Sogenial,Diversifiée,,"6,43%","6,30%","659,00 €","579,92 €","12,00%","691,75 €",4,"2 636,00 €",3 mois,12%,Oui,"95,34%","96,30%",112,NA,35 338,35,Très bon,Non,"151,8 millions €",🇫🇷 France,2018,"15,93%",http://sogenial.fr/scpi-coeur-de-regions/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie03.jpg?alt=media&token=c19ce5f4-350a-46d0-b311-e7178df3d7b3,Yes,Oui
Coeur de Ville,Coeur de Ville,Sogenial,Commerces,,"5,30%","5,30%","210,00 €","184,80 €","12,00%","218,90 €",10,"2 100,00 €",3 mois,"9,60%",Oui,"93,60%","91,79%",28,NA,4 915,0,Très bon,Non,"22,2 millions €",🇫🇷 France,2013,"26,90%",http://sogenial.fr/scpi-coeur-de-ville/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce07.jpg?alt=media&token=095ec723-5f1d-464c-86bf-17a032478321,Yes,Oui
Corum Eurion,Corum Eurion,Corum AM,Bureaux,,"6,12%","10,40%","215,00 €","189,20 €","12,00%","225,41 €",50,"10 750,00 €",5 mois,"13,20%",Oui,"100,94%","98,71%",55,"6,55",407 010,1 335,Très bon,Oui,636 millions €,Europe et International,2020,"27,00%",https://www.corum.fr/nos-scpi/eurion/documents,Mensuel,FALSE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie04.jpg?alt=media&token=c0869d18-7420-41ea-a1ea-cc1c0ae80580,No,Non
Corum Origin,Corum Origin,Corum AM,Diversifiée,,"7,03%","6,00%","1 135,00 €","999,25 €","11,96%","1 177,43 €",10,"11 350,00 €",5 mois,"13,20%",Oui,"96,16%","95,24%",322,"6,21",58 132,6 800,Moyen,Non,"2,5 milliards €",France et Europe,2012,"18,00%",https://www.corum.fr/nos-scpi/corum-origin/documents,Mensuel,FALSE,,https://images.pexels.com/photos/256395/pexels-photo-256395.jpeg,No,Non
Corum XL,Corum XL,Corum AM,Bureaux,,"5,84%","5,66%","195,00 €","171,60 €","12,00%","199,25 €",50,"9 750,00 €",5 mois,"13,20%",Oui,"98,99%","96,90%",176,"6,78",501 259,14 359,Bon,Non,"1,5 milliards €",Europe et International,2017,"22,00%",https://www.corum.fr/nos-scpi/corum-xl/documents,Mensuel,FALSE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau02.jpg?alt=media&token=2b737432-92c0-4a7c-a126-8f2f3232ab4e,No,Non
Cristal Life,Cristal Life,Inter-Gestion,Diversifiée,"5,00%","5,20%",/,"200,00 €","176,00 €","12,00%","212,04 €",1,"200,00 €",5 mois,"13,20%",Non,"100,00%","100,00%",11,"3,09",24 786,559,Bon,Oui,"34,9 millions €",🇫🇷 France,2021,NA - Ramp up,https://www.inter-gestion.com/offre-scpi/cristal-life,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie06.jpg?alt=media&token=2646c771-e4f3-4321-b655-fec4d6535c0c,Yes,Oui
Cristal Rente,Cristal Rente,Inter-Gestion,Commerces,,"5,04%","4,84%","250,00 €","225,00 €","10,00%","260,53 €",1,"250,00 €",5 mois,"13,20%",Oui,"97,90%","98,56%",171,NA,137 000,4 490,Bon,Oui,500 millions €,🇫🇷 France,2011,"23,07%",https://www.inter-gestion.com/offre-scpi/cristal-rente,Trimestriel,TRUE,La + accessible en commerces,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce06.jpg?alt=media&token=94c4c073-5eea-4152-9399-0903c9d05389,Yes,Oui
Edissimo,Edissimmo,Amundi,Bureaux,,"3,67%","3,78%","237,00 €","218,06 €","7,99%","235,08 €",10,"2 370,00 €",2 mois,8%,Oui,"90,85%",NA,NA,NA,NA,NA,NA,Oui,"4,1 milliard €",France et Europe,1986,"24,90%",https://www.amundi.fr/fr_part/product/view/SU0016,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau03.jpg?alt=media&token=5278927c-8513-434a-b843-9016c7422ac9,Yes,Oui
Efimmo 1,Efimmo 1,Sofidy,Bureaux,,"4,91%","4,80%","237,00 €","213,30 €","10,00%","241,43 €",10,"2 370,00 €",2 mois,12%,Non,"89,49%",NA,989,NA,265 033,25 523,Moyen,Non,"1,814 milliards €",France et Europe,1987,"19,80%",https://www.sofidy.com/notre-documentation/#efimmo,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie07.jpg?alt=media&token=eb948ce8-59a1-49a2-90ea-7570f302256e,Yes,Oui
